,rolling_volatility
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,0.15725284174038473
2020-02-03,0.16591490909410492
2020-02-04,0.18323582517591747
2020-02-05,0.18317476729818663
2020-02-06,0.18185544661452144
2020-02-07,0.18249582873493173
2020-02-10,0.18552123638743598
2020-02-11,0.17898128442653136
2020-02-12,0.17996586169479953
2020-02-13,0.1790252291339701
2020-02-14,0.1787847906520238
2020-02-17,0.17915792520396376
2020-02-18,0.17996945286723742
2020-02-19,0.18683163398301725
2020-02-20,0.19442900881895242
2020-02-21,0.2109550742060533
2020-02-24,0.2787023353163034
2020-02-25,0.2931249797095242
2020-02-26,0.28780307611843087
2020-02-27,0.342907243235285
2020-02-28,0.34356137612416915
2020-03-02,0.3813736643094722
2020-03-03,0.3942618690399869
2020-03-04,0.4046664609848688
2020-03-05,0.42114724935227926
2020-03-06,0.42508007318174607
2020-03-09,0.4672679488470148
2020-03-10,0.5017761961244983
2020-03-11,0.5127646706780763
2020-03-12,0.5424135887731584
2020-03-13,0.5808989118906691
2020-03-16,0.6075192152248358
2020-03-17,0.6376088235418991
2020-03-18,0.6436517446276996
2020-03-19,0.654826159166288
2020-03-20,0.6587310864284396
2020-03-23,0.6584042640707165
2020-03-24,0.69286366677785
2020-03-25,0.6894250659657624
2020-03-26,0.709056305148883
2020-03-27,0.6974444436594729
2020-03-30,0.7058989099048528
2020-03-31,0.6819025202353086
2020-04-01,0.690448785654774
2020-04-02,0.6778559277264843
2020-04-03,0.6706700437121469
2020-04-06,0.7017006131629249
2020-04-07,0.6671447745338647
2020-04-08,0.6533229105671174
2020-04-09,0.6381261714794659
2020-04-10,0.5897612921273467
2020-04-13,0.570218901648763
2020-04-14,0.5209394498262141
2020-04-15,0.5073725511551009
2020-04-16,0.47089257742615054
2020-04-17,0.4628858301248544
2020-04-20,0.44897365560893976
2020-04-21,0.4737981939253155
2020-04-22,0.44276848832324334
2020-04-23,0.44259388050161125
2020-04-24,0.4253222962668296
2020-04-27,0.39384900000848205
2020-04-28,0.3933272940998156
2020-04-29,0.40654442127850804
2020-04-30,0.3532072443340087
2020-05-01,0.3895072243986064
2020-05-04,0.38211686951611973
2020-05-05,0.3377613388221047
2020-05-06,0.3381381297748944
2020-05-07,0.3278383810956158
2020-05-08,0.33128224753704205
2020-05-11,0.3306349657579942
2020-05-12,0.33829057067944035
2020-05-13,0.3315277083492861
2020-05-14,0.3344223575881627
2020-05-15,0.3328466239822177
2020-05-18,0.3386780131298802
2020-05-19,0.33030442253128844
2020-05-20,0.2957564858698828
2020-05-21,0.28188237139950645
2020-05-22,0.28188229636175177
2020-05-25,0.2787640123965953
2020-05-26,0.27620882769679295
2020-05-27,0.26605651408755493
2020-05-28,0.24418562062424226
2020-05-29,0.24541379446959913
2020-06-01,0.1979419531011353
2020-06-02,0.18837230919886516
2020-06-03,0.18818458248146872
2020-06-04,0.19374877456900677
2020-06-05,0.21090725611139846
2020-06-08,0.2071045863943809
2020-06-09,0.2072842836271537
2020-06-10,0.19058904565319457
2020-06-11,0.2599091193566716
2020-06-12,0.2557820739813483
2020-06-15,0.258563380767253
2020-06-16,0.2528306758375996
2020-06-17,0.25107897068512586
2020-06-18,0.24248780193769534
2020-06-19,0.24016622741135155
2020-06-22,0.24169485537071075
2020-06-23,0.24227265227412698
2020-06-24,0.2669556568648527
2020-06-25,0.27150918750866626
2020-06-26,0.30421237291978637
2020-06-29,0.3068751646699234
2020-06-30,0.31333036767029065
2020-07-01,0.31522743108634466
2020-07-02,0.3160121851266025
2020-07-03,0.31310557044522563
2020-07-06,0.3197800125452889
2020-07-07,0.3210294541167015
2020-07-08,0.3224060347706961
2020-07-09,0.32159420326577565
2020-07-10,0.260236914681955
2020-07-13,0.26925805506942607
2020-07-14,0.26852869487072123
2020-07-15,0.2674397888471494
